Strand,Position,TTS categories,S2_head.reads,▽aCPSF1_head.reads
+,1514683,Secondary,51,11
+,1514822,Secondary,66,89
+,1516691,Primary,11,2
+,1517356,Primary,64,53
+,1517409,Secondary,10,8
+,1517421,Secondary,12,5
+,1519358,Primary,15,22
+,1519479,Primary,9,7
+,1520446,Primary,2931,2956
+,1520443,Secondary,770,438
+,1520454,Secondary,163,50
+,1520456,Secondary,140,107
+,1520458,Secondary,21,43
-,1520491,Primary,61,23
-,1520484,Secondary,19,-2
-,1520494,Secondary,35,18
-,1523387,Primary,7,4
+,1526296,Primary,49,48
+,1526324,Secondary,41,2
+,1526352,Secondary,18,0
-,1526092,Primary,200,352
+,1529171,Primary,908,843
+,1529179,Secondary,61,23
+,1529187,Secondary,22,2
+,1529199,Secondary,11,23
+,1533589,Primary,8,10
+,1534084,Primary,145,179
+,1534093,Secondary,16,18
+,1534149,Secondary,7,4
+,1534831,Primary,391,194
+,1534846,Secondary,10,0
+,1534851,Secondary,7,3
+,1536059,Primary,553,528
+,1536065,Secondary,46,8
+,1536100,Secondary,7,10
+,1536139,Secondary,6,6
-,1536483,Primary,74,48
+,1539381,Primary,53,24
+,1539343,Secondary,43,23
+,1539375,Secondary,25,9
+,1539387,Secondary,7,1
+,1540235,Primary,15,15
-,1541172,Primary,30,13
-,1541187,Secondary,15,7
-,1543167,Primary,6,5
-,1543763,Primary,10,35
-,1543787,Secondary,10,1
+,1548000,Primary,28,17
-,1549695,Primary,9,22
-,1551357,Primary,36,52
+,1556013,Primary,191,84
+,1556019,Secondary,14,0
+,1556025,Secondary,15,0
+,1557185,Primary,399,392
+,1557191,Secondary,18,73
+,1557199,Secondary,16,-1
+,1557994,Primary,25,21
-,1557880,Primary,15,7
+,1559773,Primary,24,14
+,1559815,Secondary,14,-4
+,1559824,Secondary,6,1
-,1561101,Primary,102,89
-,1561047,Secondary,6,19
-,1561068,Secondary,11,2
-,1561076,Secondary,7,3
-,1561083,Secondary,8,3
-,1561088,Secondary,17,12
-,1561092,Secondary,13,1
-,1561096,Secondary,44,41
-,1563003,Primary,6,2
+,1565651,Primary,10,10
+,1565667,Secondary,8,2
+,1565734,Secondary,7,4
-,1565914,Primary,91,44
-,1565879,Secondary,7,5
-,1565907,Secondary,10,14
-,1565909,Secondary,8,1
-,1565924,Secondary,28,28
-,1566872,Primary,6,8
-,1569596,Primary,6,2
-,1570276,Primary,10,26
-,1570617,Primary,13,7
-,1572039,Primary,63,89
-,1572041,Secondary,18,21
+,1574563,Primary,24,9
+,1574578,Secondary,8,18
+,1574585,Secondary,13,15
+,1575888,Primary,38,33
+,1575895,Secondary,8,-4
-,1575897,Primary,53,49
-,1575891,Secondary,10,1
-,1577183,Primary,87,47
-,1577160,Secondary,8,18
-,1577176,Secondary,11,3
-,1577194,Secondary,78,54
+,1578934,Primary,6,4
-,1578879,Primary,6,10
+,1582061,Primary,15,2
+,1583249,Primary,165,14
+,1583286,Secondary,113,23
+,1583288,Secondary,9,0
+,1583294,Secondary,8,2
+,1583329,Secondary,11,1
+,1583367,Secondary,6,1
+,1584726,Primary,11,25
+,1584736,Secondary,10,3
+,1585097,Primary,201,239
+,1585165,Secondary,47,2
+,1585176,Secondary,123,118
+,1585927,Primary,82,56
+,1585970,Secondary,10,48
-,1586648,Primary,50,5
-,1586526,Secondary,13,19
-,1586629,Secondary,20,-2
-,1586637,Secondary,21,10
-,1586644,Secondary,23,12
+,1588760,Primary,397,230
+,1588770,Secondary,267,266
+,1588779,Secondary,22,45
+,1588783,Secondary,23,171
+,1590043,Primary,15,44
-,1592663,Primary,16,1
-,1592672,Secondary,15,5
+,1597216,Primary,6,2
+,1600243,Primary,11,3
-,1600188,Primary,10,7
-,1602869,Primary,382,385
-,1602804,Secondary,6,74
-,1602846,Secondary,8,11
-,1602856,Secondary,16,47
-,1602862,Secondary,50,10
-,1602876,Secondary,134,64
-,1602899,Secondary,259,322
-,1603432,Primary,17,11
-,1603330,Secondary,6,1
-,1603411,Secondary,7,-1
-,1603414,Secondary,9,0
+,1605132,Primary,23,17
-,1604963,Primary,20,4
-,1604895,Secondary,6,-1
-,1604903,Secondary,9,3
+,1607987,Primary,11,-2
+,1613998,Primary,6,247
+,1620717,Primary,8,3
-,1620571,Primary,24,50
-,1620493,Secondary,7,4
-,1620502,Secondary,16,32
-,1622893,Primary,38,16
-,1622736,Secondary,13,7
+,1626481,Primary,42,14
-,1626372,Primary,7,8
-,1627084,Primary,114,105
-,1627073,Secondary,111,142
-,1627140,Secondary,87,178
+,1629279,Primary,7,6
+,1629368,Secondary,6,14
+,1629943,Primary,26,10
+,1629940,Secondary,14,13
-,1629895,Primary,26,6
-,1629878,Secondary,9,3
-,1631279,Primary,1366,1445
-,1631260,Secondary,20,0
-,1631265,Secondary,13,15
-,1631270,Secondary,109,87
-,1631276,Secondary,259,288
-,1632687,Primary,115,98
-,1632517,Secondary,6,1
-,1632559,Secondary,7,12
-,1632581,Secondary,8,17
-,1632680,Secondary,13,4
-,1632683,Secondary,12,-5
-,1633906,Primary,243,69
-,1633859,Secondary,19,7
-,1633899,Secondary,10,-3
-,1633901,Secondary,17,0
-,1634090,Primary,193,194
-,1635371,Primary,20,10
-,1635291,Secondary,8,3
-,1636270,Primary,24,4
-,1636249,Secondary,17,47
-,1636858,Primary,1287,1348
-,1636840,Secondary,10,4
+,1640389,Primary,59,81
+,1640221,Secondary,22,719
+,1640224,Secondary,6,11
+,1640395,Secondary,29,11
+,1640875,Primary,7,6
+,1642345,Primary,65,23
+,1642360,Secondary,32,10
+,1644188,Primary,5612,1764
+,1644012,Secondary,24,26
+,1644022,Secondary,34,22
+,1644069,Secondary,24,23
+,1645137,Primary,32,2
-,1645076,Primary,32,37
-,1644922,Secondary,17,40
-,1645057,Secondary,15,14
-,1646301,Primary,36,104
-,1646303,Secondary,11,-2
-,1647294,Primary,508,335
-,1647241,Secondary,57,289
-,1647267,Secondary,16,7
-,1647285,Secondary,118,86
-,1647691,Primary,60,181
-,1647649,Secondary,45,29
-,1648366,Primary,12,1
-,1648188,Secondary,6,7
-,1648360,Secondary,8,1
-,1648363,Secondary,8,2
-,1649171,Primary,9,10
-,1651167,Primary,109,2547
-,1651161,Secondary,12,5
-,1653225,Primary,13,37
+,1659665,Primary,7,1
+,1660301,Primary,175,74
+,1660304,Secondary,7,2
+,1660315,Secondary,13,3
+,82593,Primary,1730,308
+,82647,Secondary,70,-4
+,82655,Secondary,7,0
+,335731,Primary,6,0
+,335570,Secondary,338,57
+,335574,Secondary,367,17
+,335576,Secondary,545,112
+,335583,Secondary,293,147
+,335669,Primary,579,206
+,335677,Secondary,156,71
+,335680,Secondary,15,45
+,335688,Secondary,24,3
+,339404,Primary,7,-1
+,339325,Secondary,15,6
+,339328,Secondary,15,33
+,339330,Secondary,8,2
+,339410,Secondary,7,1
+,454180,Primary,23,15
+,454147,Secondary,166,39
+,454284,Secondary,32,1
+,700208,Primary,26,1
+,700188,Secondary,8,0
+,1263718,Primary,658,138
+,1263721,Secondary,77,16
+,1263729,Secondary,53,-3
+,1263748,Secondary,46,63
+,1305846,Primary,563,968
+,1305857,Secondary,16,3
+,1306020,Secondary,35,82
+,1309528,Primary,145,241
+,1309538,Secondary,7,0
+,1309541,Secondary,7,7
+,1497959,Primary,1109,181
+,1497967,Secondary,303,147
+,1497970,Secondary,34,62
+,1497974,Secondary,12,1
+,1508062,Primary,222,115
+,1508057,Secondary,54,123
+,1508065,Secondary,93,112
+,1508069,Secondary,7,3
+,1508073,Secondary,16,9
+,112954,Primary,61031,14588
+,112961,Secondary,577,42
+,112973,Secondary,338,285
+,113005,Secondary,249,66
+,113033,Secondary,712,260
+,1601571,Primary,316,103
+,1601575,Secondary,49,37
+,1601577,Secondary,143,105
+,1601580,Secondary,37,50
+,1601588,Secondary,14,22
-,1601302,Primary,93,17758
-,1600996,Primary,44,7
-,1601157,Secondary,9,37
-,1601172,Secondary,11,0
-,1601177,Secondary,16,29
-,1601179,Secondary,19,9
-,1601182,Secondary,31,28
-,1600890,Primary,45,106
-,1600899,Secondary,42,233
-,1600887,Primary,10,29
-,1507714,Primary,29,6
-,1507711,Secondary,6,0
-,1507716,Secondary,10,2
-,1268948,Primary,212,335
-,1269036,Secondary,92,99
+,113171,Primary,296,73
+,113074,Secondary,1406,367
+,113082,Secondary,147,70
-,1268892,Primary,7,0
-,1268933,Secondary,6,10
-,1268940,Secondary,23,0
-,1268945,Secondary,40,174
-,383760,Primary,17,0
-,383755,Secondary,10,-2
-,383764,Secondary,11,-5
-,82183,Primary,9,95
-,40267,Primary,181,111
-,40190,Secondary,101,126
-,40232,Secondary,130,319
+,113495,Primary,1172,1512
+,113419,Secondary,110143,728
+,113425,Secondary,292,283
-,234,Primary,47617,-68282
-,227,Secondary,92,26493
-,3354,Primary,4611,6364
-,3339,Secondary,8,6
-,3343,Secondary,191,41
-,5107,Primary,48216,864585
-,5268,Secondary,96,26314
-,5275,Secondary,47157,-68017
-,8395,Primary,4703,6639
-,8380,Secondary,9,5
-,8384,Secondary,252,40
-,37117,Primary,47274,876642
-,37278,Secondary,109,26299
-,37285,Secondary,46905,-68445
-,1627499,Primary,355,60
-,1627487,Secondary,6,1
-,1627490,Secondary,25,10
-,1627510,Secondary,163,407
-,40486,Primary,4670,6643
-,40468,Secondary,6,10
-,40471,Secondary,15,-1
-,40475,Secondary,218,36
-,36817,Primary,14026,10931
-,36687,Secondary,12,64
-,36773,Secondary,76,94
-,36787,Secondary,50,78
-,36808,Secondary,1367,428
-,36812,Secondary,772,5617
-,45,Primary,382,256
-,49,Secondary,1063,1245
-,51,Secondary,2368,1282
-,54,Secondary,3563,694
-,66,Secondary,46984,903143
-,26,Secondary,40,68
-,37,Secondary,316,233
-,5082,Primary,1299,705
-,5086,Secondary,366,255
-,5090,Secondary,1027,1281
-,5092,Secondary,2274,1331
-,5095,Secondary,3599,716
-,5078,Secondary,331,238
-,37091,Primary,769,587
-,37099,Secondary,2258,493
+,1461970,Primary,303976,122761
+,1461977,Secondary,3677,110635
+,1461979,Secondary,4626,9003
+,1461986,Secondary,2382,70
+,1462009,Secondary,70,2
+,1462019,Secondary,185,18
+,1462024,Secondary,22,1
+,113403,Primary,1426216,1433023
+,113249,Secondary,234,142
+,113249,Secondary,234,142
+,1644342,Primary,11,2
+,1644197,Secondary,73,4
+,1644340,Secondary,22,11
+,113677,Primary,125,94
+,113508,Secondary,507,118
+,113707,Primary,81,48
+,113614,Secondary,186,33
+,113894,Primary,15,186
+,113704,Secondary,289,237
+,113814,Secondary,74,35
+,113822,Secondary,8,10
+,197732,Primary,71,21
+,197723,Secondary,50,31
